Rank,Team,Elo Rating,Point Spread vs. Next Rank,7 Day Change
1,Iowa State,2026.0,-0.3,+26
2,Auburn,2018.0,-1.4,+4
3,UConn,1983.0,-0.3,+8
4,Tennessee,1976.0,-0.2,+11
5,Alabama,1972.0,-0.4,+18
6,Illinois,1962.0,-0.2,+70
7,Houston,1957.0,-0.0,+33
8,Marquette,1956.0,-0.1,+28
9,Duke,1954.0,-1.0,+37
10,Purdue,1930.0,-0.0,+31
11,Michigan State,1929.0,-0.1,+20
12,Florida,1926.0,-0.7,-20
13,Texas A&M,1908.0,-0.0,+19
14,Mississippi State,1908.0,-0.5,+23
15,Kansas,1895.0,-0.5,+58
16,St. John's (NY),1882.0,-0.2,-6
17,Wisconsin,1878.0,-0.0,+25
18,Nebraska,1877.0,-0.3,+13
19,Gonzaga,1869.0,-0.1,+25
20,Utah State,1867.0,-0.4,+14
21,Texas Tech,1856.0,-0.2,+17
22,San Diego State,1850.0,-0.2,+22
23,Kentucky,1844.0,-0.1,+28
24,Oregon,1842.0,-0.2,-55
25,Baylor,1836.0,-0.2,+9
26,Pitt,1831.0,-0.0,+12
27,Oklahoma,1830.0,-0.0,-18
28,Michigan,1829.0,-0.0,+28
29,Arizona,1828.0,-0.6,+32
30,Texas,1814.0,-0.1,-19
31,Memphis,1812.0,-0.1,+52
32,Ohio State,1810.0,-0.2,-19
33,Saint Mary's,1806.0,-0.0,+11
34,Northwestern,1806.0,-0.2,-26
35,BYU,1801.0,-0.1,+1
36,Cincinnati,1799.0,-0.0,-40
37,UCLA,1798.0,-0.1,-11
38,Ole Miss,1796.0,-0.2,+19
39,Penn State,1792.0,-0.1,-17
40,Indiana,1790.0,-0.1,+40
41,UNC,1787.0,-0.3,-26
42,Maryland,1779.0,-0.0,-30
43,Washington State,1778.0,-0.1,+19
44,Colorado,1776.0,-0.0,-50
45,Creighton,1775.0,-0.1,+5
46,Georgia,1773.0,-0.0,-19
47,Iowa,1773.0,-0.0,-24
48,Vanderbilt,1772.0,-0.2,+28
49,New Mexico,1767.0,-0.0,+14
50,South Carolina,1766.0,,-20
