Bowling Green, 16.5 ,Akron,20250313,153621
Duquesne, 1.5 ,St. Bonaventure,20250313,153621
Georgia Tech, 22.5 ,Duke,20250313,153621
Butler, 12.5 ,St. John's,20250313,153621
Indiana, 2.5 ,Oregon,20250313,153621
Iowa State, -2.5 ,BYU,20250313,153621
South Florida, 3.5 ,Wichita State,20250313,153621
Arkansas, 4.5 ,Ole Miss,20250313,153621
Ohio, -2.5 ,Toledo,20250313,153621
Davidson, 4.5 ,Saint Louis,20250313,153621
Alabama State, -1.5 ,Texas Southern,20250313,153621
North Carolina, -5.5 ,Wake Forest,20250313,153621
Marquette, -2.5 ,Xavier,20250313,153621
Northwestern, 8.5 ,Wisconsin,20250313,153621
Colorado, 17.5 ,Houston,20250313,153621
Charlotte, 10.5 ,Florida Atlantic,20250313,153621
San Jose State, 15.5 ,New Mexico,20250313,153621
Texas, 6.5 ,Texas A&M,20250313,153621
Eastern Michigan, 4.5 ,Miami (OH,20250313,153621
Fordham, 6.5 ,George Washington,20250313,153621
Boise State, -2.5 ,San Diego State,20250313,153621
Manhattan, 1.5 ,Iona,20250313,153621
Morgan State, 3.5 ,Howard,20250313,153621
Western Michigan, 9.5 ,Kent State,20250313,153621
Iowa, 10.5 ,Illinois,20250313,153621
New Mexico State, 1 ,Kennesaw State,20250313,153621
Stanford, 10.5 ,Louisville,20250313,153621
DePaul, 12.5 ,Creighton,20250313,153621
Baylor, 6.5 ,Texas Tech,20250313,153621
Tulsa, 3.5 ,Temple,20250313,153621
Mississippi State, 3.5 ,Missouri,20250313,153621
La Salle, 12.5 ,Saint Joseph's,20250313,153621
Mount St. Mary's, 4.5 ,Marist,20250313,153621
Alcorn State, 2.5 ,Bethune-Cookman,20250313,153621
North Carolina Central, 1 ,Delaware State,20250313,153621
USC, 10.5 ,Purdue,20250313,153621
Nevada, 5.5 ,Colorado State,20250313,153621
Louisiana Tech, 1.5 ,Middle Tennessee,20250313,153621
Seattle, -5.5 ,Abilene Christian,20250313,153621
UC Santa Barbara, 3.5 ,Cal State Northridge,20250313,153621
SMU, 6.5 ,Clemson,20250313,153621
Villanova, 6.5 ,UConn,20250313,153621
Kansas, 2.5 ,Arizona,20250313,153621
UTSA, 3.5 ,East Carolina,20250313,153621
Oklahoma, 6.5 ,Kentucky,20250313,153621
UNLV, 7.5 ,Utah State,20250313,153621
Tarleton State, 5.5 ,California Baptist,20250313,153621
Cal Poly, 4.5 ,UC Riverside,20250313,153621
