Reinhardt,NL,Jacksonville State,20251110,140943
New Haven, 10.5 ,UMass Lowell,20251110,140943
Columbia, 33.5 ,UConn,20251110,140943
Maine, 20.5 ,Rutgers,20251110,140943
Delaware State, 4.5 ,Niagara,20251110,140943
Fairfield, 13.5 ,Seton Hall,20251110,140943
UNC Wilmington, 2.5 ,Kent State,20251110,140943
Eastern Michigan, 17.5 ,Pittsburgh,20251110,140943
Indiana State, 1.5 ,SIU Edwardsville,20251110,140943
Presbyterian, 2.5 ,Georgia State,20251110,140943
Stetson, 31.5 ,Miami (FL,20251110,140943
South Carolina State, 1.5 ,North Carolina A&T,20251110,140943
Western Kentucky, 1.5 ,Eastern Kentucky,20251110,140943
Charleston Southern, -3.5 ,The Citadel,20251110,140943
Mississippi State, 5.5 ,Iowa State,20251110,140943
Lindenwood, 23.5 ,Saint Louis,20251110,140943
Little Rock, 3.5 ,Milwaukee,20251110,140943
New Orleans, 19.5 ,LSU,20251110,140943
Lamar, 17.5 ,TCU,20251110,140943
Santa Clara, 2.5 ,Xavier,20251110,140943
Cleveland State, 21.5 ,Northwestern,20251110,140943
Northern Illinois, 20.5 ,Grand Canyon,20251110,140943
Holy Cross, 21.5 ,Utah,20251110,140943
Southeastern Louisiana, 16.5 ,Georgia Tech,20251110,140943
St. Thomas, -1.5 ,Washington State,20251110,140943
Cal State Fullerton, 23.5 ,California,20251110,140943
Lincoln (CA,NL,UC Irvine,20251110,140943
West Georgia, 34.5 ,UCLA,20251110,140943
East Texas A&M,NL,Hawai'i,20251110,140943
