Siena, 2.5 ,Sacred Heart,20250216,140252
Florida Atlantic, -2.5 ,Temple,20250216,140252
Memphis, -7.5 ,Wichita State,20250216,140252
Mount St. Mary's, -8.5 ,Canisius,20250216,140252
Michigan, 2.5 ,Ohio State,20250216,140252
Bradley, 6.5 ,Drake,20250216,140252
Rider, 4.5 ,Saint Peter's,20250216,140252
Manhattan, -2.5 ,Fairfield,20250216,140252
Iona, 6.5 ,Quinnipiac,20250216,140252
South Dakota State, -6.5 ,South Dakota,20250216,140252
Marist, 3.5 ,Merrimack,20250216,140252
Youngstown State, 3.5 ,Cleveland State,20250216,140252
Creighton, 6.5 ,St. John's,20250216,140252
Missouri State, 6.5 ,UIC,20250216,140252
Northern Kentucky, 6.5 ,Milwaukee,20250216,140252
Nebraska, -1.5 ,Northwestern,20250216,140252
Detroit Mercy, 13.5 ,Oakland,20250216,140252
Wright State, -9.5 ,Green Bay,20250216,140252
Utah State, 5.5 ,New Mexico,20250216,140252
South Florida, 9.5 ,UAB,20250216,140252
Northern Iowa, 1.5 ,Murray State,20250216,140252
Iowa, 11.5 ,Maryland,20250216,140252
Rutgers, 7.5 ,Oregon,20250216,140252
Louisville, -7.5 ,Notre Dame,20250216,140252
Valparaiso, 2.5 ,Evansville,20250216,140252
UC Irvine,NL,Hawai'i,20250216,140252
