Western Carolina, 2.5 ,VMI,20250115,140735
South Carolina, 8.5 ,Vanderbilt,20250115,140735
Lehigh, 3.5 ,Boston,20250115,140735
Lafayette, 1.5 ,Army,20250115,140735
Davidson, -1.5 ,La Salle,20250115,140735
Stanford, 7.5 ,Wake Forest,20250115,140735
USC Upstate, 12.5 ,UNC Asheville,20250115,140735
Charleston Southern, 10.5 ,Winthrop,20250115,140735
George Mason, 8 ,Dayton,20250115,140735
UAB, -2 ,South Florida,20250115,140735
Wofford, 3 ,Chattanooga,20250115,140735
Samford, -6 ,Mercer,20250115,140735
Southern Illinois, 4 ,Missouri State,20250115,140735
Seton Hall, 6.5 ,Butler,20250115,140735
Kansas, 6.5 ,Iowa State,20250115,140735
Massachusetts, 1 ,Fordham,20250115,140735
Duquesne, 4 ,George Washington,20250115,140735
IU Indy, 10.5 ,Oakland,20250115,140735
Citadel, 17.5 ,UNCG,20250115,140735
Northern Kentucky, 4 ,Cleveland State,20250115,140735
Purdue Fort Wayne, -1 ,Wright State,20250115,140735
California, 14.5 ,North Carolina,20250115,140735
Richmond, 13 ,St. Bonaventure,20250115,140735
North Carolina State, -1.5 ,Virginia Tech,20250115,140735
East Tennessee State, 4 ,Furman,20250115,140735
BOWST,NL,Howard,20250115,140735
Colgate, -3 ,Navy,20250115,140735
Gardner-Webb, 6.5 ,Radford,20250115,140735
Holy Cross, 6 ,Bucknell,20250115,140735
Florida Atlantic, -2 ,Tulane,20250115,140735
Troy, -13 ,Louisiana-Monroe,20250115,140735
Penn State, 11.5 ,Michigan State,20250115,140735
Georgia State, 9.5 ,Texas State,20250115,140735
Southern Miss, 11 ,South Alabama,20250115,140735
Murray State, 2 ,UIC,20250115,140735
Utah, 4.5 ,TCU,20250115,140735
Indiana State, 8 ,Bradley,20250115,140735
West Virginia, 17.5 ,Houston,20250115,140735
Georgia, 11 ,Tennessee,20250115,140735
Rhode Island, 5 ,Loyola Chicago,20250115,140735
Illinois State, 9.5 ,Drake,20250115,140735
Cincinnati, -3 ,Colorado,20250115,140735
Omaha, -5 ,Denver,20250115,140735
Pittsburgh, -2 ,Florida State,20250115,140735
SMU, -6.5 ,Virginia,20250115,140735
Purdue, -7.5 ,Washington,20250115,140735
Texas, 2.5 ,Oklahoma,20250115,140735
Utah State, -5 ,UNLV,20250115,140735
High Point,NL,Longwood,20250115,140735
