Bowling Green, 7.5 ,Toledo,20250221,140212
Saint Peter's, 4.5 ,Mount St. Mary's,20250221,140212
Dayton, -1.5 ,Loyola Chicago,20250221,140212
Marquette, -1.5 ,Villanova,20250221,140212
Fairfield, 4.5 ,Rider,20250221,140212
Niagara, 6.5 ,Siena,20250221,140212
Canisius, 11.5 ,Marist,20250221,140212
Manhattan, 3.5 ,Iona,20250221,140212
Dartmouth, 1.5 ,Penn,20250221,140212
Cleveland State, -8.5 ,Detroit Mercy,20250221,140212
Northern Kentucky, 3.5 ,Wright State,20250221,140212
Harvard, 8.5 ,Princeton,20250221,140212
Oakland, 3.5 ,Purdue Fort Wayne,20250221,140212
Green Bay, 14.5 ,Robert Morris,20250221,140212
Cornell, 9.5 ,Yale,20250221,140212
Columbia, 5.5 ,Brown,20250221,140212
Sacred Heart, 6.5 ,Merrimack,20250221,140212
Michigan State, 2.5 ,Michigan,20250221,140212
Kent State, 1.5 ,Miami (OH,20250221,140212
Milwaukee, 1.5 ,Youngstown State,20250221,140212
