Michigan, 7.5 ,Michigan State,20250309,140159
Drexel, 4.5 ,Towson,20250309,140159
Winthrop, 7.5 ,High Point,20250309,140159
Navy, 5.5 ,Bucknell,20250309,140159
Iowa, 7.5 ,Nebraska,20250309,140159
Minnesota, 5.5 ,Rutgers,20250309,140159
East Carolina, 5.5 ,Florida Atlantic,20250309,140159
North Texas, -5.5 ,Temple,20250309,140159
UAB, -3.5 ,Tulane,20250309,140159
Tulsa, 11.5 ,Wichita State,20250309,140159
Colgate, 1.5 ,American,20250309,140159
North Alabama, 4.5 ,Lipscomb,20250309,140159
Bradley, 3.5 ,Drake,20250309,140159
Delaware, 3.5 ,William & Mary,20250309,140159
Oregon, -7.5 ,Washington,20250309,140159
UTSA, -1 ,Charlotte,20250309,140159
Furman, 2.5 ,Chattanooga,20250309,140159
Hampton, 8.5 ,UNC Wilmington,20250309,140159
Arkansas State, -4.5 ,South Alabama,20250309,140159
Houston Christian, 6.5 ,Texas A&M-Corpus Christi,20250309,140159
VMI, 9.5 ,Wofford,20250309,140159
Weber State, 11.5 ,Northern Colorado,20250309,140159
Monmouth, 8.5 ,Charleston,20250309,140159
Troy, -1.5 ,James Madison,20250309,140159
Pepperdine, 15.5 ,Santa Clara,20250309,140159
Incarnate Word, 3.5 ,Southeastern Louisiana,20250309,140159
St. Thomas, -3.5 ,Omaha,20250309,140159
Northern Arizona, 5.5 ,Montana,20250309,140159
Washington State, 3.5 ,San Francisco,20250309,140159
Loyola Marymount,NL,Washington State,20250309,140159
UC San Diego,NL,UC Davis,20250309,140159
