Alabama, 5.5 ,St. John's,20251108,140125
Princeton, 10.5 ,Akron,20251108,140125
Alcorn State, 29.5 ,Minnesota,20251108,140125
Florida International, 19.5 ,Nebraska,20251108,140125
Drexel, 9.5 ,Saint Joseph's,20251108,140125
Penn State, -16.5 ,New Haven,20251108,140125
Kennesaw State, -9.5 ,Florida A&M,20251108,140125
Delaware State, 25.5 ,Syracuse,20251108,140125
South Florida, -2.5 ,George Washington,20251108,140125
Western Carolina, 35.5 ,Duke,20251108,140125
Marshall, 1.5 ,Toledo,20251108,140125
Milwaukee, -3.5 ,Wofford,20251108,140125
Texas State, 12.5 ,Tulane,20251108,140125
Champion Christian College,NL,Central Arkansas,20251108,140125
Fairfield, -5.5 ,NJIT,20251108,140125
Niagara, 2.5 ,Binghamton,20251108,140125
UMBC, 23.5 ,Dayton,20251108,140125
FDU, 6.5 ,Saint Peter's,20251108,140125
Towson, 27.5 ,Houston,20251108,140125
San Francisco, 2.5 ,Memphis,20251108,140125
Northern Kentucky, 27.5 ,Tennessee,20251108,140125
Lafayette, 22.5 ,Texas,20251108,140125
UNC Asheville, 3.5 ,Georgia Southern,20251108,140125
Monmouth, 5.5 ,La Salle,20251108,140125
Cal State Fullerton, 12.5 ,Wyoming,20251108,140125
San Jose State, 9.5 ,UC Santa Barbara,20251108,140125
Montana, 11.5 ,Stanford,20251108,140125
Utah Valley, 12.5 ,Boise State,20251108,140125
Canisius, 19.5 ,St. Bonaventure,20251108,140125
UT Arlington, 12.5 ,New Mexico,20251108,140125
Vanderbilt, -8.5 ,UCF,20251108,140125
Elon, 4.5 ,UNC Greensboro,20251108,140125
Providence, 1.5 ,Virginia Tech,20251108,140125
Eastern Washington, 15.5 ,Colorado,20251108,140125
William & Mary, -1.5 ,Norfolk State,20251108,140125
Austin Peay, 1.5 ,Air Force,20251108,140125
IU Indy, 21.5 ,Butler,20251108,140125
Long Beach State, 6.5 ,Fresno State,20251108,140125
Averett,NL,High Point,20251108,140125
Maine, 5.5 ,Stony Brook,20251108,140125
East Carolina, 6.5 ,Richmond,20251108,140125
Charleston, 5.5 ,Florida Atlantic,20251108,140125
East Tennessee State, -4.5 ,Presbyterian,20251108,140125
University at Albany, 8.5 ,UMass,20251108,140125
Weber State, 16.5 ,Utah,20251108,140125
Arkansas, 1.5 ,Michigan State,20251108,140125
Prairie View A&M, 15.5 ,Wichita State,20251108,140125
Texas A&M-Corpus Christi, 1.5 ,Tarleton State,20251108,140125
Queens University, 18.5 ,Villanova,20251108,140125
Webster,NL,Middle Tennessee,20251108,140125
Central Michigan, 9.5 ,Bradley,20251108,140125
Tennessee State, 13.5 ,Belmont,20251108,140125
Bellarmine, 27.5 ,Kansas State,20251108,140125
Army, 16.5 ,St. Thomas,20251108,140125
UT Rio Grande Valley, -1.5 ,Southern Utah,20251108,140125
Chattanooga, 6.5 ,UNLV,20251108,140125
Arkansas-Pine Bluff, 19.5 ,Loyola Marymount,20251108,140125
Holy Cross, 36.5 ,BYU,20251108,140125
Cal Poly, 8.5 ,Seattle,20251108,140125
Pacific, 11.5 ,Nevada,20251108,140125
Houston Christian, 8.5 ,UC San Diego,20251108,140125
Oklahoma, 10.5 ,Gonzaga,20251108,140125
